,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
0,float,1048576,4,0,False,Copy,18401.9,0.000459,0.000456,0.000469
1,float,1048576,4,0,False,Scale,15589.0,0.000544,0.000538,0.000565
2,float,1048576,4,0,False,Add,27051.0,0.000474,0.000465,0.000511
3,float,1048576,4,0,False,Triad,27009.5,0.000472,0.000466,0.000494
4,float,1048576,4,0,True,Copy,81.5,0.10562,0.102923,0.1085
5,float,1048576,4,0,True,Scale,81.0,0.105678,0.103622,0.107979
6,float,1048576,4,0,True,Add,97.3,0.134937,0.12935,0.138666
7,float,1048576,4,0,True,Triad,96.6,0.135267,0.130244,0.138247
8,float,1048576,8,0,False,Copy,18353.9,0.000464,0.000457,0.000473
9,float,1048576,8,0,False,Scale,15425.0,0.000558,0.000544,0.000582
10,float,1048576,8,0,False,Add,27120.5,0.000465,0.000464,0.000468
11,float,1048576,8,0,False,Triad,27120.5,0.000469,0.000464,0.00048
12,float,1048576,8,0,True,Copy,81.8,0.105528,0.1025,0.107941
13,float,1048576,8,0,True,Scale,81.0,0.105429,0.103531,0.107377
14,float,1048576,8,0,True,Add,96.9,0.135367,0.129898,0.139063
15,float,1048576,8,0,True,Triad,96.6,0.136022,0.13032,0.139033
16,float,1048576,16,0,False,Copy,18518.1,0.000461,0.000453,0.000476
17,float,1048576,16,0,False,Scale,15506.6,0.000552,0.000541,0.000565
18,float,1048576,16,0,False,Add,27120.5,0.000468,0.000464,0.000481
19,float,1048576,16,0,False,Triad,26995.7,0.000475,0.000466,0.000485
20,float,1048576,16,0,True,Copy,81.8,0.105612,0.102528,0.108175
21,float,1048576,16,0,True,Scale,80.7,0.105831,0.103995,0.107931
22,float,1048576,16,0,True,Add,96.9,0.135175,0.129814,0.138307
23,float,1048576,16,0,True,Triad,96.8,0.135478,0.130018,0.138642
24,float,1048576,32,0,False,Copy,18043.3,0.000472,0.000465,0.000484
25,float,1048576,32,0,False,Scale,15364.4,0.00055,0.000546,0.000565
26,float,1048576,32,0,False,Add,26494.3,0.000481,0.000475,0.000493
27,float,1048576,32,0,False,Triad,26547.6,0.000476,0.000474,0.000487
28,float,1048576,32,0,True,Copy,73.3,0.117181,0.114398,0.120116
29,float,1048576,32,0,True,Scale,72.3,0.11796,0.116004,0.121883
30,float,1048576,32,0,True,Add,87.4,0.149955,0.143968,0.152844
31,float,1048576,32,0,True,Triad,86.2,0.150892,0.146024,0.15356
32,float,1048576,64,0,False,Copy,18117.6,0.000472,0.000463,0.000489
33,float,1048576,64,0,False,Scale,15146.1,0.000567,0.000554,0.000584
34,float,1048576,64,0,False,Add,26995.7,0.000472,0.000466,0.00048
35,float,1048576,64,0,False,Triad,26885.7,0.000484,0.000468,0.000505
36,float,1048576,64,0,True,Copy,73.1,0.117648,0.114753,0.120512
37,float,1048576,64,0,True,Scale,72.4,0.118459,0.115925,0.121746
38,float,1048576,64,0,True,Add,86.4,0.150478,0.14557,0.153322
39,float,1048576,64,0,True,Triad,86.3,0.151023,0.14572,0.154129
40,float,1048576,128,0,False,Copy,18117.6,0.00048,0.000463,0.000509
41,float,1048576,128,0,False,Scale,15479.3,0.00055,0.000542,0.000567
42,float,1048576,128,0,False,Add,26885.7,0.000483,0.000468,0.000498
43,float,1048576,128,0,False,Triad,27064.9,0.000474,0.000465,0.000501
44,float,1048576,128,0,True,Copy,72.7,0.118166,0.115444,0.120352
45,float,1048576,128,0,True,Scale,71.8,0.119142,0.116762,0.122411
46,float,1048576,128,0,True,Add,86.6,0.150996,0.145296,0.15358
47,float,1048576,128,0,True,Triad,85.9,0.151942,0.146515,0.154831
48,float,1048576,256,0,False,Copy,17923.8,0.000483,0.000468,0.000498
49,float,1048576,256,0,False,Scale,14927.6,0.000567,0.000562,0.000576
50,float,1048576,256,0,False,Add,26831.0,0.000487,0.000469,0.00052
51,float,1048576,256,0,False,Triad,26954.3,0.000471,0.000467,0.00048
52,float,1048576,256,0,True,Copy,71.2,0.121412,0.11788,0.129177
53,float,1048576,256,0,True,Scale,70.8,0.121934,0.118446,0.126707
