,data_type,stream_size,zfp_rate,cache_size,is_zfp,is_fast,Function,Best Rate MB/s,Avg time,Min time,Max time
0,double,536870912,1,0,False,True,Copy,19297.4,0.490741,0.445134,0.49909
1,double,536870912,1,0,False,True,Scale,11521.1,0.759812,0.745582,0.765655
2,double,536870912,1,0,False,True,Add,12911.2,1.030398,0.997967,1.038368
3,double,536870912,1,0,False,True,Triad,12968.7,1.023953,0.993542,1.037671
4,double,536870912,1,0,True,False,Copy,135.1,64.752895,63.596123,65.53884
5,double,536870912,1,0,True,False,Scale,133.5,65.434466,64.361864,67.003366
6,double,536870912,1,0,True,False,Add,156.5,83.881776,82.340719,84.936065
7,double,536870912,1,0,True,False,Triad,153.7,85.268272,83.851032,86.207979
8,double,536870912,1,0,True,True,Copy,5029.7,1.708403,1.707849,1.709211
9,double,536870912,1,0,True,True,Scale,5038.4,1.705246,1.704878,1.706004
10,double,536870912,1,0,True,True,Add,5716.5,2.255058,2.253977,2.260586
11,double,536870912,1,0,True,True,Triad,5301.4,2.431666,2.43045,2.433429
12,double,536870912,2,0,False,True,Copy,17328.9,0.498241,0.495699,0.500379
13,double,536870912,2,0,False,True,Scale,11941.9,0.760603,0.719311,0.768555
14,double,536870912,2,0,False,True,Add,13184.7,1.027368,0.977261,1.036149
15,double,536870912,2,0,False,True,Triad,12495.3,1.03299,1.031184,1.035267
16,double,536870912,2,0,True,False,Copy,137.8,63.823131,62.325832,64.641059
17,double,536870912,2,0,True,False,Scale,138.6,63.606266,61.998718,64.705832
18,double,536870912,2,0,True,False,Add,160.3,82.93543,80.399987,84.915929
19,double,536870912,2,0,True,False,Triad,158.6,83.523934,81.254573,84.958483
20,double,536870912,2,0,True,True,Copy,5045.7,1.703018,1.702422,1.706015
21,double,536870912,2,0,True,True,Scale,5038.3,1.705906,1.704911,1.707498
22,double,536870912,2,0,True,True,Add,5490.9,2.347362,2.346574,2.349232
23,double,536870912,2,0,True,True,Triad,5180.2,2.488425,2.487322,2.493209
24,double,536870912,4,0,False,True,Copy,20644.3,0.418718,0.416092,0.420674
25,double,536870912,4,0,False,True,Scale,12762.8,0.675208,0.673042,0.68043
26,double,536870912,4,0,False,True,Add,13893.1,0.929754,0.927432,0.933348
27,double,536870912,4,0,False,True,Triad,13884.0,0.929768,0.928042,0.931784
28,double,536870912,4,0,True,False,Copy,137.8,64.476493,62.35216,66.710126
29,double,536870912,4,0,True,False,Scale,138.4,64.260208,62.080924,66.434179
30,double,536870912,4,0,True,False,Add,160.1,83.708053,80.469077,87.445391
31,double,536870912,4,0,True,False,Triad,158.5,84.369729,81.293942,87.051679
32,double,536870912,4,0,True,True,Copy,5031.3,1.710979,1.707294,1.725972
33,double,536870912,4,0,True,True,Scale,5039.5,1.70599,1.704529,1.708505
34,double,536870912,4,0,True,True,Add,5723.5,2.25396,2.25121,2.258971
35,double,536870912,4,0,True,True,Triad,5296.2,2.439964,2.432871,2.470879
36,double,536870912,8,0,False,True,Copy,20545.8,0.420251,0.418088,0.422797
37,double,536870912,8,0,False,True,Scale,12749.7,0.675363,0.673736,0.67776
38,double,536870912,8,0,False,True,Add,13858.6,0.930989,0.929742,0.933897
39,double,536870912,8,0,False,True,Triad,13868.3,0.931189,0.929089,0.935014
40,double,536870912,8,0,True,False,Copy,137.7,63.915131,62.362682,65.064629
41,double,536870912,8,0,True,False,Scale,138.8,63.632898,61.896123,64.787785
42,double,536870912,8,0,True,False,Add,160.7,83.008282,80.19699,85.102754
43,double,536870912,8,0,True,False,Triad,158.4,83.662554,81.345761,85.062152
44,double,536870912,8,0,True,True,Copy,5031.4,1.708811,1.707276,1.711192
45,double,536870912,8,0,True,True,Scale,5039.4,1.704793,1.704563,1.705178
46,double,536870912,8,0,True,True,Add,5722.7,2.252312,2.251542,2.25556
47,double,536870912,8,0,True,True,Triad,5301.5,2.433124,2.430408,2.435722
48,double,536870912,16,0,False,True,Copy,20601.7,0.419374,0.416953,0.423849
49,double,536870912,16,0,False,True,Scale,12767.5,0.674857,0.672796,0.67831
50,double,536870912,16,0,False,True,Add,13873.0,0.930017,0.928775,0.932909
51,double,536870912,16,0,False,True,Triad,13841.9,0.932364,0.930861,0.936994
52,double,536870912,16,0,True,False,Copy,138.4,63.633648,62.060474,64.607032
53,double,536870912,16,0,True,False,Scale,138.8,63.494513,61.890387,64.608236
54,double,536870912,16,0,True,False,Add,161.0,82.610886,80.014034,84.520417
55,double,536870912,16,0,True,False,Triad,158.6,83.361378,81.227643,84.798581
