,Iteration,RMSE,Time,cache_size,data_type,is_fast,is_zfp,matrix_width,zfp_rate
0,0,0.0,0.0,0,double,False,False,128,1
1,1,0.0,0.0,0,double,False,False,128,1
2,2,0.0,0.0,0,double,False,False,128,1
3,3,0.0,0.0,0,double,False,False,128,1
4,4,0.0,0.0,0,double,False,False,128,1
5,0,0.0,0.1,0,double,False,True,128,1
6,1,0.0,0.1,0,double,False,True,128,1
7,2,0.0,0.09,0,double,False,True,128,1
8,3,0.0,0.11,0,double,False,True,128,1
9,4,0.0,0.09,0,double,False,True,128,1
10,0,0.0,0.02,0,double,True,True,128,1
11,1,0.0,0.02,0,double,True,True,128,1
12,2,0.0,0.02,0,double,True,True,128,1
13,3,0.0,0.02,0,double,True,True,128,1
14,4,0.0,0.02,0,double,True,True,128,1
15,0,0.0,0.0,0,double,False,False,128,4
16,1,0.0,0.0,0,double,False,False,128,4
17,2,0.0,0.0,0,double,False,False,128,4
18,3,0.0,0.0,0,double,False,False,128,4
19,4,0.0,0.0,0,double,False,False,128,4
20,0,0.0,0.09,0,double,False,True,128,4
21,1,0.0,0.1,0,double,False,True,128,4
22,2,0.0,0.1,0,double,False,True,128,4
23,3,0.0,0.09,0,double,False,True,128,4
24,4,0.0,0.1,0,double,False,True,128,4
25,0,0.0,0.02,0,double,True,True,128,4
26,1,0.0,0.02,0,double,True,True,128,4
27,2,0.0,0.02,0,double,True,True,128,4
28,3,0.0,0.02,0,double,True,True,128,4
29,4,0.0,0.02,0,double,True,True,128,4
30,0,0.0,0.0,0,double,False,False,128,2
31,1,0.0,0.0,0,double,False,False,128,2
32,2,0.0,0.0,0,double,False,False,128,2
33,3,0.0,0.0,0,double,False,False,128,2
34,4,0.0,0.0,0,double,False,False,128,2
35,0,0.0,0.09,0,double,False,True,128,2
36,1,0.0,0.1,0,double,False,True,128,2
37,2,0.0,0.09,0,double,False,True,128,2
38,3,0.0,0.1,0,double,False,True,128,2
39,4,0.0,0.09,0,double,False,True,128,2
40,0,0.0,0.02,0,double,True,True,128,2
41,1,0.0,0.02,0,double,True,True,128,2
42,2,0.0,0.02,0,double,True,True,128,2
43,3,0.0,0.02,0,double,True,True,128,2
44,4,0.0,0.02,0,double,True,True,128,2
45,0,0.0,0.0,0,double,False,False,128,16
46,1,0.0,0.0,0,double,False,False,128,16
47,2,0.0,0.0,0,double,False,False,128,16
48,3,0.0,0.0,0,double,False,False,128,16
49,4,0.0,0.0,0,double,False,False,128,16
50,0,0.0,0.17,0,double,False,True,128,16
51,1,0.0,0.17,0,double,False,True,128,16
52,2,0.0,0.17,0,double,False,True,128,16
53,3,0.0,0.17,0,double,False,True,128,16
54,4,0.0,0.17,0,double,False,True,128,16
