,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
0,0,0.0,26.37,16384,double,True,1024,32,True,4
1,1,0.0,26.37,16384,double,True,1024,32,True,4
2,2,0.0,26.37,16384,double,True,1024,32,True,4
3,3,0.0,26.41,16384,double,True,1024,32,True,4
4,4,0.0,26.37,16384,double,True,1024,32,True,4
5,0,0.0,24.88,4096,double,True,1024,32,True,4
6,1,0.0,24.87,4096,double,True,1024,32,True,4
7,2,0.0,24.88,4096,double,True,1024,32,True,4
8,3,0.0,24.88,4096,double,True,1024,32,True,4
9,4,0.0,24.88,4096,double,True,1024,32,True,4
10,0,0.0,24.93,8192,double,True,1024,32,True,4
11,1,0.0,24.94,8192,double,True,1024,32,True,4
12,2,0.0,24.92,8192,double,True,1024,32,True,4
13,3,0.0,24.92,8192,double,True,1024,32,True,4
14,4,0.0,24.94,8192,double,True,1024,32,True,4
15,0,0.0,26.47,32768,double,True,1024,32,True,4
16,1,0.0,26.36,32768,double,True,1024,32,True,4
17,2,0.0,26.35,32768,double,True,1024,32,True,4
18,3,0.0,26.34,32768,double,True,1024,32,True,4
19,4,0.0,26.3,32768,double,True,1024,32,True,4
20,0,0.0,25.01,65536,double,True,1024,32,True,4
21,1,0.0,25.14,65536,double,True,1024,32,True,4
22,2,0.0,25.23,65536,double,True,1024,32,True,4
23,3,0.0,25.14,65536,double,True,1024,32,True,4
24,4,0.0,25.07,65536,double,True,1024,32,True,4
25,0,2026.078231,121.37,512,double,True,1024,32,True,4
26,1,2026.078231,121.49,512,double,True,1024,32,True,4
27,2,2026.078231,121.42,512,double,True,1024,32,True,4
28,3,2026.078231,121.37,512,double,True,1024,32,True,4
29,4,2026.078231,121.37,512,double,True,1024,32,True,4
30,0,0.0,24.92,1024,double,True,1024,32,True,4
31,1,0.0,24.9,1024,double,True,1024,32,True,4
32,2,0.0,24.92,1024,double,True,1024,32,True,4
33,3,0.0,24.97,1024,double,True,1024,32,True,4
34,4,0.0,24.99,1024,double,True,1024,32,True,4
35,0,2026.078231,122.53,256,double,True,1024,32,True,4
36,1,2026.078231,122.44,256,double,True,1024,32,True,4
37,2,2026.078231,121.8,256,double,True,1024,32,True,4
38,3,2026.078231,121.43,256,double,True,1024,32,True,4
39,4,2026.078231,121.35,256,double,True,1024,32,True,4
40,0,0.0,25.19,2048,double,True,1024,32,True,4
41,1,0.0,25.04,2048,double,True,1024,32,True,4
42,2,0.0,24.92,2048,double,True,1024,32,True,4
43,3,0.0,24.91,2048,double,True,1024,32,True,4
44,4,0.0,24.91,2048,double,True,1024,32,True,4
45,0,0.0,26.15,0,double,True,1024,32,True,4
46,1,0.0,26.15,0,double,True,1024,32,True,4
47,2,0.0,26.16,0,double,True,1024,32,True,4
48,3,0.0,26.15,0,double,True,1024,32,True,4
49,4,0.0,26.15,0,double,True,1024,32,True,4
50,0,0.0,32.53,4096,double,True,1024,32,True,8
51,1,0.0,32.48,4096,double,True,1024,32,True,8
52,2,0.0,32.49,4096,double,True,1024,32,True,8
