,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
0,0,0.0,28.14,0,double,True,1024,32,True,4
1,1,0.0,28.31,0,double,True,1024,32,True,4
2,2,0.0,28.16,0,double,True,1024,32,True,4
3,3,0.0,28.27,0,double,True,1024,32,True,4
4,4,0.0,28.22,0,double,True,1024,32,True,4
5,0,2026.078231,131.43,512,double,True,1024,32,True,4
6,1,2026.078231,128.91,512,double,True,1024,32,True,4
7,2,2026.078231,128.88,512,double,True,1024,32,True,4
8,3,2026.078231,128.97,512,double,True,1024,32,True,4
9,4,2026.078231,129.08,512,double,True,1024,32,True,4
10,0,0.0,27.68,1024,double,True,1024,32,True,4
11,1,0.0,27.67,1024,double,True,1024,32,True,4
12,2,0.0,27.68,1024,double,True,1024,32,True,4
13,3,0.0,27.69,1024,double,True,1024,32,True,4
14,4,0.0,27.69,1024,double,True,1024,32,True,4
15,0,0.0,28.15,2048,double,True,1024,32,True,4
16,1,0.0,27.88,2048,double,True,1024,32,True,4
17,2,0.0,27.62,2048,double,True,1024,32,True,4
18,3,0.0,27.62,2048,double,True,1024,32,True,4
19,4,0.0,27.63,2048,double,True,1024,32,True,4
20,0,0.0,27.66,4096,double,True,1024,32,True,4
21,1,0.0,27.63,4096,double,True,1024,32,True,4
22,2,0.0,27.63,4096,double,True,1024,32,True,4
23,3,0.0,27.63,4096,double,True,1024,32,True,4
24,4,0.0,27.69,4096,double,True,1024,32,True,4
25,0,0.0,28.12,8192,double,True,1024,32,True,4
26,1,0.0,28.07,8192,double,True,1024,32,True,4
27,2,0.0,28.22,8192,double,True,1024,32,True,4
28,3,0.0,28.08,8192,double,True,1024,32,True,4
29,4,0.0,28.07,8192,double,True,1024,32,True,4
30,0,0.0,28.13,16384,double,True,1024,32,True,4
31,1,0.0,28.2,16384,double,True,1024,32,True,4
32,2,0.0,28.08,16384,double,True,1024,32,True,4
33,3,0.0,27.78,16384,double,True,1024,32,True,4
34,4,0.0,27.63,16384,double,True,1024,32,True,4
35,0,0.0,28.19,32768,double,True,1024,32,True,4
36,1,0.0,28.13,32768,double,True,1024,32,True,4
37,2,0.0,28.14,32768,double,True,1024,32,True,4
38,3,0.0,28.12,32768,double,True,1024,32,True,4
39,4,0.0,28.27,32768,double,True,1024,32,True,4
40,0,0.0,27.69,65536,double,True,1024,32,True,4
41,1,0.0,27.68,65536,double,True,1024,32,True,4
42,2,0.0,27.68,65536,double,True,1024,32,True,4
43,3,0.0,27.67,65536,double,True,1024,32,True,4
44,4,0.0,27.68,65536,double,True,1024,32,True,4
45,0,0.0,35.41,0,double,True,1024,32,True,8
46,1,0.0,35.24,0,double,True,1024,32,True,8
47,2,0.0,35.24,0,double,True,1024,32,True,8
48,3,0.0,35.23,0,double,True,1024,32,True,8
49,4,0.0,35.23,0,double,True,1024,32,True,8
50,0,0.0,203.0,512,double,True,1024,32,True,8
51,1,0.0,202.91,512,double,True,1024,32,True,8
52,2,0.0,203.04,512,double,True,1024,32,True,8
53,3,0.0,202.79,512,double,True,1024,32,True,8
54,4,0.0,202.89,512,double,True,1024,32,True,8
55,0,0.0,35.14,1024,double,True,1024,32,True,8
56,1,0.0,35.14,1024,double,True,1024,32,True,8
57,2,0.0,35.14,1024,double,True,1024,32,True,8
58,3,0.0,35.13,1024,double,True,1024,32,True,8
59,4,0.0,35.13,1024,double,True,1024,32,True,8
60,0,0.0,35.7,2048,double,True,1024,32,True,8
61,1,0.0,35.18,2048,double,True,1024,32,True,8
62,2,0.0,35.14,2048,double,True,1024,32,True,8
63,3,0.0,35.14,2048,double,True,1024,32,True,8
64,4,0.0,35.15,2048,double,True,1024,32,True,8
65,0,0.0,35.21,4096,double,True,1024,32,True,8
66,1,0.0,35.21,4096,double,True,1024,32,True,8
67,2,0.0,35.21,4096,double,True,1024,32,True,8
68,3,0.0,35.37,4096,double,True,1024,32,True,8
69,4,0.0,36.88,4096,double,True,1024,32,True,8
70,0,0.0,35.23,8192,double,True,1024,32,True,8
71,1,0.0,35.72,8192,double,True,1024,32,True,8
72,2,0.0,35.82,8192,double,True,1024,32,True,8
73,3,0.0,35.73,8192,double,True,1024,32,True,8
74,4,0.0,35.78,8192,double,True,1024,32,True,8
75,0,0.0,35.15,16384,double,True,1024,32,True,8
76,1,0.0,35.15,16384,double,True,1024,32,True,8
77,2,0.0,35.48,16384,double,True,1024,32,True,8
78,3,0.0,35.48,16384,double,True,1024,32,True,8
79,4,0.0,35.79,16384,double,True,1024,32,True,8
80,0,0.0,35.84,32768,double,True,1024,32,True,8
81,1,0.0,35.58,32768,double,True,1024,32,True,8
82,2,0.0,35.17,32768,double,True,1024,32,True,8
83,3,0.0,35.16,32768,double,True,1024,32,True,8
84,4,0.0,35.16,32768,double,True,1024,32,True,8
85,0,0.0,35.19,65536,double,True,1024,32,True,8
86,1,0.0,35.14,65536,double,True,1024,32,True,8
87,2,0.0,35.14,65536,double,True,1024,32,True,8
88,3,0.0,35.15,65536,double,True,1024,32,True,8
89,4,0.0,35.15,65536,double,True,1024,32,True,8
90,0,0.0,37.96,0,double,True,1024,32,True,16
91,1,0.0,37.63,0,double,True,1024,32,True,16
92,2,0.0,37.88,0,double,True,1024,32,True,16
93,3,0.0,37.91,0,double,True,1024,32,True,16
94,4,0.0,37.88,0,double,True,1024,32,True,16
95,0,0.0,260.73,512,double,True,1024,32,True,16
96,1,0.0,267.36,512,double,True,1024,32,True,16
97,2,0.0,270.38,512,double,True,1024,32,True,16
98,3,0.0,268.17,512,double,True,1024,32,True,16
99,4,0.0,266.22,512,double,True,1024,32,True,16
100,0,0.0,37.04,1024,double,True,1024,32,True,16
101,1,0.0,37.01,1024,double,True,1024,32,True,16
102,2,0.0,37.0,1024,double,True,1024,32,True,16
103,3,0.0,37.07,1024,double,True,1024,32,True,16
104,4,0.0,37.0,1024,double,True,1024,32,True,16
105,0,0.0,37.05,2048,double,True,1024,32,True,16
106,1,0.0,37.44,2048,double,True,1024,32,True,16
107,2,0.0,37.68,2048,double,True,1024,32,True,16
108,3,0.0,37.84,2048,double,True,1024,32,True,16
109,4,0.0,37.71,2048,double,True,1024,32,True,16
110,0,0.0,37.1,4096,double,True,1024,32,True,16
111,1,0.0,37.08,4096,double,True,1024,32,True,16
112,2,0.0,37.08,4096,double,True,1024,32,True,16
113,3,0.0,37.08,4096,double,True,1024,32,True,16
114,4,0.0,37.08,4096,double,True,1024,32,True,16
115,0,0.0,37.16,8192,double,True,1024,32,True,16
116,1,0.0,37.02,8192,double,True,1024,32,True,16
117,2,0.0,37.02,8192,double,True,1024,32,True,16
118,3,0.0,37.06,8192,double,True,1024,32,True,16
119,4,0.0,37.01,8192,double,True,1024,32,True,16
120,0,0.0,37.32,16384,double,True,1024,32,True,16
121,1,0.0,37.03,16384,double,True,1024,32,True,16
122,2,0.0,37.03,16384,double,True,1024,32,True,16
123,3,0.0,37.03,16384,double,True,1024,32,True,16
124,4,0.0,37.16,16384,double,True,1024,32,True,16
125,0,0.0,37.81,32768,double,True,1024,32,True,16
126,1,0.0,37.49,32768,double,True,1024,32,True,16
127,2,0.0,37.06,32768,double,True,1024,32,True,16
128,3,0.0,37.05,32768,double,True,1024,32,True,16
129,4,0.0,37.05,32768,double,True,1024,32,True,16
130,0,0.0,37.04,65536,double,True,1024,32,True,16
131,1,0.0,37.26,65536,double,True,1024,32,True,16
132,2,0.0,37.81,65536,double,True,1024,32,True,16
133,3,0.0,37.71,65536,double,True,1024,32,True,16
134,4,0.0,37.15,65536,double,True,1024,32,True,16
135,0,0.0,37.76,0,double,True,1024,32,True,32
136,1,0.0,37.85,0,double,True,1024,32,True,32
137,2,0.0,37.88,0,double,True,1024,32,True,32
138,3,0.0,37.7,0,double,True,1024,32,True,32
139,4,0.0,37.71,0,double,True,1024,32,True,32
140,0,0.0,351.47,512,double,True,1024,32,True,32
141,1,0.0,351.6,512,double,True,1024,32,True,32
142,2,0.0,351.66,512,double,True,1024,32,True,32
143,3,0.0,351.59,512,double,True,1024,32,True,32
144,4,0.0,351.64,512,double,True,1024,32,True,32
145,0,0.0,37.03,1024,double,True,1024,32,True,32
146,1,0.0,37.02,1024,double,True,1024,32,True,32
147,2,0.0,37.01,1024,double,True,1024,32,True,32
148,3,0.0,37.01,1024,double,True,1024,32,True,32
149,4,0.0,37.1,1024,double,True,1024,32,True,32
150,0,0.0,37.06,2048,double,True,1024,32,True,32
151,1,0.0,37.17,2048,double,True,1024,32,True,32
152,2,0.0,37.17,2048,double,True,1024,32,True,32
153,3,0.0,37.18,2048,double,True,1024,32,True,32
154,4,0.0,37.17,2048,double,True,1024,32,True,32
155,0,0.0,37.05,4096,double,True,1024,32,True,32
156,1,0.0,37.05,4096,double,True,1024,32,True,32
157,2,0.0,37.43,4096,double,True,1024,32,True,32
158,3,0.0,37.19,4096,double,True,1024,32,True,32
159,4,0.0,37.03,4096,double,True,1024,32,True,32
160,0,0.0,37.09,8192,double,True,1024,32,True,32
161,1,0.0,37.08,8192,double,True,1024,32,True,32
162,2,0.0,37.04,8192,double,True,1024,32,True,32
163,3,0.0,37.02,8192,double,True,1024,32,True,32
164,4,0.0,37.03,8192,double,True,1024,32,True,32
165,0,0.0,37.11,16384,double,True,1024,32,True,32
166,1,0.0,37.04,16384,double,True,1024,32,True,32
167,2,0.0,37.03,16384,double,True,1024,32,True,32
168,3,0.0,37.04,16384,double,True,1024,32,True,32
169,4,0.0,37.15,16384,double,True,1024,32,True,32
170,0,0.0,37.64,32768,double,True,1024,32,True,32
171,1,0.0,38.42,32768,double,True,1024,32,True,32
172,2,0.0,38.74,32768,double,True,1024,32,True,32
173,3,0.0,38.1,32768,double,True,1024,32,True,32
174,4,0.0,38.99,32768,double,True,1024,32,True,32
175,0,0.0,37.03,65536,double,True,1024,32,True,32
176,1,0.0,37.03,65536,double,True,1024,32,True,32
177,2,0.0,37.03,65536,double,True,1024,32,True,32
178,3,0.0,37.03,65536,double,True,1024,32,True,32
179,4,0.0,37.03,65536,double,True,1024,32,True,32
