,cache_size,data_type,hash_algorithm,hits,matrix_width,misses,tile_size,tiled,write backs,zfp_rate,hit rate,miss rate
0,0,double,fat,28590628,256,5553628,0,False,32768,4,0.8373481032944458,0.16265189670555422
1,0,double,twoway,29563641,256,4580615,0,False,32966,4,0.865845224450051,0.134154775549949
2,0,double,default,29908992,256,4235264,0,False,32768,4,0.8759596928982726,0.12404030710172745
3,0,double,fat,28590628,256,5553628,0,False,32768,8,0.8373481032944458,0.16265189670555422
4,0,double,twoway,29563641,256,4580615,0,False,32966,8,0.865845224450051,0.134154775549949
5,0,double,default,29908992,256,4235264,0,False,32768,8,0.8759596928982726,0.12404030710172745
6,0,double,fat,28590628,256,5553628,0,False,32768,16,0.8373481032944458,0.16265189670555422
7,0,double,twoway,29563641,256,4580615,0,False,32966,16,0.865845224450051,0.134154775549949
8,0,double,default,29908992,256,4235264,0,False,32768,16,0.8759596928982726,0.12404030710172745
9,0,double,fat,28590628,256,5553628,0,False,32768,32,0.8373481032944458,0.16265189670555422
10,0,double,twoway,29563641,256,4580615,0,False,32966,32,0.865845224450051,0.134154775549949
11,0,double,default,29908992,256,4235264,0,False,32768,32,0.8759596928982726,0.12404030710172745
12,0,double,fat,232420492,512,38374260,0,False,131072,4,0.8582902374710718,0.1417097625289282
13,0,double,twoway,235508198,512,35286554,0,False,131414,4,0.8696926224035538,0.13030737759644617
14,0,double,default,237076480,512,33718272,0,False,131072,4,0.8754840271055179,0.12451597289448209
15,0,double,fat,232420492,512,38374260,0,False,131072,8,0.8582902374710718,0.1417097625289282
16,0,double,twoway,235508198,512,35286554,0,False,131414,8,0.8696926224035538,0.13030737759644617
17,0,double,default,237076480,512,33718272,0,False,131072,8,0.8754840271055179,0.12451597289448209
18,0,double,fat,232420492,512,38374260,0,False,131072,16,0.8582902374710718,0.1417097625289282
19,0,double,twoway,235508198,512,35286554,0,False,131414,16,0.8696926224035538,0.13030737759644617
20,0,double,default,237076480,512,33718272,0,False,131072,16,0.8754840271055179,0.12451597289448209
21,0,double,fat,232420492,512,38374260,0,False,131072,32,0.8582902374710718,0.1417097625289282
22,0,double,twoway,235508198,512,35286554,0,False,131414,32,0.8696926224035538,0.13030737759644617
23,0,double,default,237076480,512,33718272,0,False,131072,32,0.8754840271055179,0.12451597289448209
24,0,double,fat,1873186288,1024,283734544,0,False,524288,4,0.868453890476403,0.13154610952359702
25,0,double,twoway,1878331530,1024,278589302,0,False,525026,4,0.8708393475240912,0.12916065247590877
26,0,double,default,1887830016,1024,269090816,0,False,524288,4,0.8752430724355859,0.1247569275644142
27,0,double,fat,1873186288,1024,283734544,0,False,524288,8,0.868453890476403,0.13154610952359702
28,0,double,twoway,1878331530,1024,278589302,0,False,525026,8,0.8708393475240912,0.12916065247590877
29,0,double,default,1887830016,1024,269090816,0,False,524288,8,0.8752430724355859,0.1247569275644142
30,0,double,fat,1873186288,1024,283734544,0,False,524288,16,0.868453890476403,0.13154610952359702
31,0,double,twoway,1878331530,1024,278589302,0,False,525026,16,0.8708393475240912,0.12916065247590877
32,0,double,default,1887830016,1024,269090816,0,False,524288,16,0.8752430724355859,0.1247569275644142
33,0,double,fat,1873186288,1024,283734544,0,False,524288,32,0.868453890476403,0.13154610952359702
34,0,double,twoway,1878331530,1024,278589302,0,False,525026,32,0.8708393475240912,0.12916065247590877
35,0,double,default,1887830016,1024,269090816,0,False,524288,32,0.8752430724355859,0.1247569275644142
