,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
0,float,1048576,4,0,False,Copy,26796.9,0.000325,0.000313,0.000356
1,float,1048576,4,0,False,Scale,26715.5,0.00032,0.000314,0.000334
2,float,1048576,4,0,False,Add,26885.7,0.000473,0.000468,0.000479
3,float,1048576,4,0,False,Triad,26831.0,0.000474,0.000469,0.00048
4,float,1048576,4,0,True,Copy,81.8,0.106612,0.102502,0.111899
5,float,1048576,4,0,True,Scale,81.1,0.106233,0.103481,0.109191
6,float,1048576,4,0,True,Add,97.1,0.136132,0.129528,0.143433
7,float,1048576,4,0,True,Triad,97.0,0.136918,0.129785,0.142015
8,float,1048576,8,0,False,Copy,26474.3,0.000322,0.000317,0.000354
9,float,1048576,8,0,False,Scale,26296.2,0.000328,0.000319,0.000379
10,float,1048576,8,0,False,Add,26601.1,0.000479,0.000473,0.000497
11,float,1048576,8,0,False,Triad,26547.6,0.00048,0.000474,0.000506
12,float,1048576,8,0,True,Copy,82.1,0.10553,0.102124,0.109054
13,float,1048576,8,0,True,Scale,81.2,0.105289,0.103288,0.107571
14,float,1048576,8,0,True,Add,97.7,0.13462,0.128816,0.138124
15,float,1048576,8,0,True,Triad,97.4,0.134867,0.129173,0.137901
16,float,1048576,16,0,False,Copy,26899.4,0.000314,0.000312,0.000323
17,float,1048576,16,0,False,Scale,26796.9,0.000316,0.000313,0.00033
18,float,1048576,16,0,False,Add,26940.6,0.00047,0.000467,0.000484
19,float,1048576,16,0,False,Triad,26940.6,0.000469,0.000467,0.000477
20,float,1048576,16,0,True,Copy,81.7,0.10571,0.102688,0.108282
21,float,1048576,16,0,True,Scale,80.8,0.10574,0.103875,0.10778
22,float,1048576,16,0,True,Add,97.5,0.13496,0.129003,0.138245
23,float,1048576,16,0,True,Triad,96.8,0.135734,0.129943,0.140553
24,float,1048576,32,0,False,Copy,26139.9,0.000325,0.000321,0.00033
25,float,1048576,32,0,False,Scale,25422.2,0.000332,0.00033,0.000335
26,float,1048576,32,0,False,Add,26165.9,0.000484,0.000481,0.000486
27,float,1048576,32,0,False,Triad,26114.1,0.000486,0.000482,0.000489
28,float,1048576,32,0,True,Copy,73.8,0.116981,0.113696,0.119787
29,float,1048576,32,0,True,Scale,72.6,0.117993,0.115556,0.121084
30,float,1048576,32,0,True,Add,87.5,0.150381,0.14386,0.154682
31,float,1048576,32,0,True,Triad,86.8,0.150669,0.144953,0.153774
32,float,1048576,64,0,False,Copy,26796.9,0.000321,0.000313,0.000352
33,float,1048576,64,0,False,Scale,26715.5,0.000318,0.000314,0.000326
