,Iteration,Norm,Time,cache_policy,cache_size,data_type,is_zfp,matrix_name,zfp_rate
0,0,0.0,0.0,DEFAULT,0,double,False,A0,4
1,1,0.0,0.0,DEFAULT,0,double,False,A0,4
2,2,0.0,0.0,DEFAULT,0,double,False,A0,4
3,3,0.0,0.0,DEFAULT,0,double,False,A0,4
4,4,0.0,0.0,DEFAULT,0,double,False,A0,4
5,0,0.0,0.0,DEFAULT,0,double,True,A0,4
6,1,0.0,0.0,DEFAULT,0,double,True,A0,4
7,2,0.0,0.01,DEFAULT,0,double,True,A0,4
8,3,0.0,0.0,DEFAULT,0,double,True,A0,4
9,4,0.0,0.0,DEFAULT,0,double,True,A0,4
10,0,0.0,0.0,DEFAULT,1024,double,False,A0,4
11,1,0.0,0.0,DEFAULT,1024,double,False,A0,4
12,2,0.0,0.0,DEFAULT,1024,double,False,A0,4
13,3,0.0,0.0,DEFAULT,1024,double,False,A0,4
14,4,0.0,0.0,DEFAULT,1024,double,False,A0,4
15,0,0.0,0.0,DEFAULT,1024,double,True,A0,4
16,1,0.0,0.0,DEFAULT,1024,double,True,A0,4
17,2,0.0,0.01,DEFAULT,1024,double,True,A0,4
18,3,0.0,0.0,DEFAULT,1024,double,True,A0,4
19,4,0.0,0.0,DEFAULT,1024,double,True,A0,4
20,0,0.0,0.0,DEFAULT,32768,double,False,A0,4
21,1,0.0,0.0,DEFAULT,32768,double,False,A0,4
22,2,0.0,0.0,DEFAULT,32768,double,False,A0,4
23,3,0.0,0.0,DEFAULT,32768,double,False,A0,4
24,4,0.0,0.0,DEFAULT,32768,double,False,A0,4
25,0,0.0,0.01,DEFAULT,32768,double,True,A0,4
26,1,0.0,0.0,DEFAULT,32768,double,True,A0,4
27,2,0.0,0.0,DEFAULT,32768,double,True,A0,4
28,3,0.0,0.01,DEFAULT,32768,double,True,A0,4
29,4,0.0,0.0,DEFAULT,32768,double,True,A0,4
30,0,0.0,0.0,DEFAULT,1048576,double,False,A0,4
31,1,0.0,0.0,DEFAULT,1048576,double,False,A0,4
32,2,0.0,0.0,DEFAULT,1048576,double,False,A0,4
33,3,0.0,0.0,DEFAULT,1048576,double,False,A0,4
34,4,0.0,0.0,DEFAULT,1048576,double,False,A0,4
35,0,0.0,0.0,DEFAULT,1048576,double,True,A0,4
36,1,0.0,0.0,DEFAULT,1048576,double,True,A0,4
37,2,0.0,0.0,DEFAULT,1048576,double,True,A0,4
38,3,0.0,0.0,DEFAULT,1048576,double,True,A0,4
39,4,0.0,0.0,DEFAULT,1048576,double,True,A0,4
40,0,0.0,0.0,DEFAULT,0,double,False,A0,8
41,1,0.0,0.0,DEFAULT,0,double,False,A0,8
42,2,0.0,0.0,DEFAULT,0,double,False,A0,8
43,3,0.0,0.0,DEFAULT,0,double,False,A0,8
44,4,0.0,0.0,DEFAULT,0,double,False,A0,8
45,0,0.0,0.01,DEFAULT,0,double,True,A0,8
46,1,0.0,0.0,DEFAULT,0,double,True,A0,8
47,2,0.0,0.0,DEFAULT,0,double,True,A0,8
48,3,0.0,0.01,DEFAULT,0,double,True,A0,8
49,4,0.0,0.0,DEFAULT,0,double,True,A0,8
50,0,0.0,0.0,DEFAULT,1024,double,False,A0,8
51,1,0.0,0.0,DEFAULT,1024,double,False,A0,8
52,2,0.0,0.0,DEFAULT,1024,double,False,A0,8
53,3,0.0,0.0,DEFAULT,1024,double,False,A0,8
54,4,0.0,0.0,DEFAULT,1024,double,False,A0,8
55,0,0.0,0.0,DEFAULT,1024,double,True,A0,8
56,1,0.0,0.0,DEFAULT,1024,double,True,A0,8
57,2,0.0,0.01,DEFAULT,1024,double,True,A0,8
58,3,0.0,0.0,DEFAULT,1024,double,True,A0,8
59,4,0.0,0.0,DEFAULT,1024,double,True,A0,8
60,0,0.0,0.0,DEFAULT,32768,double,False,A0,8
61,1,0.0,0.0,DEFAULT,32768,double,False,A0,8
62,2,0.0,0.0,DEFAULT,32768,double,False,A0,8
63,3,0.0,0.0,DEFAULT,32768,double,False,A0,8
64,4,0.0,0.0,DEFAULT,32768,double,False,A0,8
65,0,0.0,0.01,DEFAULT,32768,double,True,A0,8
66,1,0.0,0.0,DEFAULT,32768,double,True,A0,8
67,2,0.0,0.0,DEFAULT,32768,double,True,A0,8
68,3,0.0,0.01,DEFAULT,32768,double,True,A0,8
69,4,0.0,0.0,DEFAULT,32768,double,True,A0,8
70,0,0.0,0.0,DEFAULT,1048576,double,False,A0,8
71,1,0.0,0.0,DEFAULT,1048576,double,False,A0,8
72,2,0.0,0.0,DEFAULT,1048576,double,False,A0,8
73,3,0.0,0.0,DEFAULT,1048576,double,False,A0,8
74,4,0.0,0.0,DEFAULT,1048576,double,False,A0,8
75,0,0.0,0.0,DEFAULT,1048576,double,True,A0,8
76,1,0.0,0.0,DEFAULT,1048576,double,True,A0,8
77,2,0.0,0.0,DEFAULT,1048576,double,True,A0,8
78,3,0.0,0.0,DEFAULT,1048576,double,True,A0,8
79,4,0.0,0.0,DEFAULT,1048576,double,True,A0,8
80,0,0.0,0.0,DEFAULT,0,double,False,A0,16
81,1,0.0,0.0,DEFAULT,0,double,False,A0,16
82,2,0.0,0.0,DEFAULT,0,double,False,A0,16
83,3,0.0,0.0,DEFAULT,0,double,False,A0,16
84,4,0.0,0.0,DEFAULT,0,double,False,A0,16
85,0,0.0,0.0,DEFAULT,0,double,True,A0,16
86,1,0.0,0.0,DEFAULT,0,double,True,A0,16
87,2,0.0,0.01,DEFAULT,0,double,True,A0,16
88,3,0.0,0.0,DEFAULT,0,double,True,A0,16
89,4,0.0,0.0,DEFAULT,0,double,True,A0,16
90,0,0.0,0.0,DEFAULT,1024,double,False,A0,16
91,1,0.0,0.0,DEFAULT,1024,double,False,A0,16
92,2,0.0,0.0,DEFAULT,1024,double,False,A0,16
93,3,0.0,0.0,DEFAULT,1024,double,False,A0,16
