,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
0,0,0.0,24.89,4096,double,True,1024,32,True,4
1,1,0.0,24.92,4096,double,True,1024,32,True,4
2,2,0.0,24.94,4096,double,True,1024,32,True,4
3,3,0.0,24.94,4096,double,True,1024,32,True,4
4,4,0.0,24.93,4096,double,True,1024,32,True,4
5,0,0.0,25.01,16384,double,True,1024,32,True,4
6,1,0.0,24.92,16384,double,True,1024,32,True,4
7,2,0.0,24.96,16384,double,True,1024,32,True,4
8,3,0.0,24.94,16384,double,True,1024,32,True,4
9,4,0.0,25.03,16384,double,True,1024,32,True,4
10,0,0.0,24.94,8192,double,True,1024,32,True,4
11,1,0.0,24.95,8192,double,True,1024,32,True,4
12,2,0.0,24.95,8192,double,True,1024,32,True,4
13,3,0.0,24.95,8192,double,True,1024,32,True,4
14,4,0.0,24.94,8192,double,True,1024,32,True,4
15,0,0.0,25.15,32768,double,True,1024,32,True,4
16,1,0.0,25.1,32768,double,True,1024,32,True,4
17,2,0.0,25.1,32768,double,True,1024,32,True,4
18,3,0.0,25.17,32768,double,True,1024,32,True,4
19,4,0.0,25.17,32768,double,True,1024,32,True,4
20,0,0.0,25.03,1024,double,True,1024,32,True,4
21,1,0.0,25.05,1024,double,True,1024,32,True,4
22,2,0.0,25.08,1024,double,True,1024,32,True,4
23,3,0.0,25.2,1024,double,True,1024,32,True,4
24,4,0.0,25.22,1024,double,True,1024,32,True,4
25,0,0.0,26.41,65536,double,True,1024,32,True,4
26,1,0.0,26.4,65536,double,True,1024,32,True,4
27,2,0.0,26.44,65536,double,True,1024,32,True,4
28,3,0.0,26.44,65536,double,True,1024,32,True,4
29,4,0.0,26.45,65536,double,True,1024,32,True,4
30,0,0.0,25.22,2048,double,True,1024,32,True,4
31,1,0.0,25.11,2048,double,True,1024,32,True,4
32,2,0.0,24.93,2048,double,True,1024,32,True,4
33,3,0.0,24.97,2048,double,True,1024,32,True,4
34,4,0.0,24.95,2048,double,True,1024,32,True,4
35,0,2026.078231,126.59,512,double,True,1024,32,True,4
36,1,2026.078231,126.34,512,double,True,1024,32,True,4
37,2,2026.078231,129.88,512,double,True,1024,32,True,4
38,3,2026.078231,130.97,512,double,True,1024,32,True,4
39,4,2026.078231,130.79,512,double,True,1024,32,True,4
40,0,2026.078231,127.69,256,double,True,1024,32,True,4
41,1,2026.078231,127.54,256,double,True,1024,32,True,4
42,2,2026.078231,127.7,256,double,True,1024,32,True,4
43,3,2026.078231,127.76,256,double,True,1024,32,True,4
44,4,2026.078231,127.66,256,double,True,1024,32,True,4
45,0,0.0,26.28,0,double,True,1024,32,True,4
46,1,0.0,26.37,0,double,True,1024,32,True,4
47,2,0.0,26.16,0,double,True,1024,32,True,4
48,3,0.0,26.23,0,double,True,1024,32,True,4
49,4,0.0,26.15,0,double,True,1024,32,True,4
50,0,0.0,32.94,4096,double,True,1024,32,True,8
51,1,0.0,33.03,4096,double,True,1024,32,True,8
52,2,0.0,33.19,4096,double,True,1024,32,True,8
53,3,0.0,33.01,4096,double,True,1024,32,True,8
54,4,0.0,33.16,4096,double,True,1024,32,True,8
55,0,0.0,32.68,16384,double,True,1024,32,True,8
56,1,0.0,32.54,16384,double,True,1024,32,True,8
57,2,0.0,32.52,16384,double,True,1024,32,True,8
58,3,0.0,32.53,16384,double,True,1024,32,True,8
59,4,0.0,32.56,16384,double,True,1024,32,True,8
60,0,0.0,32.94,8192,double,True,1024,32,True,8
61,1,0.0,32.92,8192,double,True,1024,32,True,8
62,2,0.0,32.82,8192,double,True,1024,32,True,8
63,3,0.0,32.77,8192,double,True,1024,32,True,8
64,4,0.0,32.82,8192,double,True,1024,32,True,8
65,0,0.0,32.77,32768,double,True,1024,32,True,8
66,1,0.0,32.53,32768,double,True,1024,32,True,8
67,2,0.0,32.53,32768,double,True,1024,32,True,8
68,3,0.0,32.55,32768,double,True,1024,32,True,8
69,4,0.0,32.57,32768,double,True,1024,32,True,8
70,0,0.0,32.7,1024,double,True,1024,32,True,8
71,1,0.0,32.52,1024,double,True,1024,32,True,8
72,2,0.0,32.53,1024,double,True,1024,32,True,8
73,3,0.0,32.53,1024,double,True,1024,32,True,8
74,4,0.0,32.54,1024,double,True,1024,32,True,8
75,0,0.0,33.72,65536,double,True,1024,32,True,8
76,1,0.0,33.71,65536,double,True,1024,32,True,8
77,2,0.0,33.7,65536,double,True,1024,32,True,8
78,3,0.0,33.7,65536,double,True,1024,32,True,8
