,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
0,0,0.0,28.1,0,double,True,1024,32,True,4
1,1,0.0,28.29,0,double,True,1024,32,True,4
2,2,0.0,28.59,0,double,True,1024,32,True,4
3,3,0.0,28.5,0,double,True,1024,32,True,4
4,4,0.0,28.59,0,double,True,1024,32,True,4
5,0,2026.078231,128.82,512,double,True,1024,32,True,4
6,1,2026.078231,128.88,512,double,True,1024,32,True,4
7,2,2026.078231,128.84,512,double,True,1024,32,True,4
8,3,2026.078231,128.87,512,double,True,1024,32,True,4
9,4,2026.078231,130.27,512,double,True,1024,32,True,4
10,0,0.0,28.43,1024,double,True,1024,32,True,4
11,1,0.0,28.35,1024,double,True,1024,32,True,4
12,2,0.0,28.37,1024,double,True,1024,32,True,4
13,3,0.0,28.36,1024,double,True,1024,32,True,4
14,4,0.0,28.3,1024,double,True,1024,32,True,4
15,0,0.0,29.27,2048,double,True,1024,32,True,4
16,1,0.0,29.26,2048,double,True,1024,32,True,4
17,2,0.0,29.26,2048,double,True,1024,32,True,4
18,3,0.0,29.25,2048,double,True,1024,32,True,4
19,4,0.0,29.25,2048,double,True,1024,32,True,4
20,0,0.0,28.16,4096,double,True,1024,32,True,4
21,1,0.0,28.05,4096,double,True,1024,32,True,4
22,2,0.0,28.05,4096,double,True,1024,32,True,4
23,3,0.0,28.05,4096,double,True,1024,32,True,4
24,4,0.0,28.05,4096,double,True,1024,32,True,4
25,0,0.0,28.08,8192,double,True,1024,32,True,4
26,1,0.0,28.01,8192,double,True,1024,32,True,4
27,2,0.0,28.02,8192,double,True,1024,32,True,4
28,3,0.0,28.02,8192,double,True,1024,32,True,4
29,4,0.0,28.02,8192,double,True,1024,32,True,4
30,0,0.0,28.48,16384,double,True,1024,32,True,4
31,1,0.0,28.4,16384,double,True,1024,32,True,4
32,2,0.0,28.41,16384,double,True,1024,32,True,4
33,3,0.0,28.39,16384,double,True,1024,32,True,4
34,4,0.0,28.28,16384,double,True,1024,32,True,4
35,0,0.0,28.06,32768,double,True,1024,32,True,4
36,1,0.0,28.04,32768,double,True,1024,32,True,4
37,2,0.0,28.05,32768,double,True,1024,32,True,4
38,3,0.0,28.96,32768,double,True,1024,32,True,4
39,4,0.0,29.32,32768,double,True,1024,32,True,4
40,0,0.0,28.22,65536,double,True,1024,32,True,4
41,1,0.0,28.09,65536,double,True,1024,32,True,4
42,2,0.0,28.09,65536,double,True,1024,32,True,4
43,3,0.0,28.08,65536,double,True,1024,32,True,4
44,4,0.0,28.08,65536,double,True,1024,32,True,4
45,0,0.0,28.01,1536,double,True,1024,32,True,4
46,1,0.0,28.08,1536,double,True,1024,32,True,4
47,2,0.0,28.1,1536,double,True,1024,32,True,4
48,3,0.0,28.06,1536,double,True,1024,32,True,4
49,4,0.0,28.07,1536,double,True,1024,32,True,4
50,0,0.0,28.05,3072,double,True,1024,32,True,4
51,1,0.0,28.05,3072,double,True,1024,32,True,4
52,2,0.0,28.24,3072,double,True,1024,32,True,4
53,3,0.0,28.09,3072,double,True,1024,32,True,4
54,4,0.0,28.03,3072,double,True,1024,32,True,4
55,0,0.0,28.03,6144,double,True,1024,32,True,4
56,1,0.0,28.02,6144,double,True,1024,32,True,4
57,2,0.0,28.06,6144,double,True,1024,32,True,4
58,3,0.0,28.08,6144,double,True,1024,32,True,4
59,4,0.0,28.06,6144,double,True,1024,32,True,4
60,0,0.0,28.03,12288,double,True,1024,32,True,4
61,1,0.0,28.07,12288,double,True,1024,32,True,4
62,2,0.0,28.05,12288,double,True,1024,32,True,4
63,3,0.0,28.02,12288,double,True,1024,32,True,4
64,4,0.0,28.02,12288,double,True,1024,32,True,4
65,0,0.0,28.49,24576,double,True,1024,32,True,4
66,1,0.0,28.43,24576,double,True,1024,32,True,4
67,2,0.0,28.2,24576,double,True,1024,32,True,4
68,3,0.0,28.2,24576,double,True,1024,32,True,4
69,4,0.0,28.22,24576,double,True,1024,32,True,4
70,0,0.0,28.22,49152,double,True,1024,32,True,4
71,1,0.0,28.17,49152,double,True,1024,32,True,4
72,2,0.0,28.11,49152,double,True,1024,32,True,4
73,3,0.0,28.11,49152,double,True,1024,32,True,4
74,4,0.0,28.11,49152,double,True,1024,32,True,4
75,0,0.0,35.57,0,double,True,1024,32,True,8
76,1,0.0,35.57,0,double,True,1024,32,True,8
77,2,0.0,35.58,0,double,True,1024,32,True,8
78,3,0.0,35.57,0,double,True,1024,32,True,8
79,4,0.0,35.57,0,double,True,1024,32,True,8
80,0,0.0,206.04,512,double,True,1024,32,True,8
81,1,0.0,202.7,512,double,True,1024,32,True,8
82,2,0.0,202.88,512,double,True,1024,32,True,8
83,3,0.0,202.79,512,double,True,1024,32,True,8
84,4,0.0,202.65,512,double,True,1024,32,True,8
85,0,0.0,35.55,1024,double,True,1024,32,True,8
86,1,0.0,35.56,1024,double,True,1024,32,True,8
87,2,0.0,35.56,1024,double,True,1024,32,True,8
88,3,0.0,35.54,1024,double,True,1024,32,True,8
89,4,0.0,35.61,1024,double,True,1024,32,True,8
90,0,0.0,35.55,2048,double,True,1024,32,True,8
91,1,0.0,35.55,2048,double,True,1024,32,True,8
92,2,0.0,35.54,2048,double,True,1024,32,True,8
93,3,0.0,35.54,2048,double,True,1024,32,True,8
94,4,0.0,35.54,2048,double,True,1024,32,True,8
95,0,0.0,35.56,4096,double,True,1024,32,True,8
96,1,0.0,35.56,4096,double,True,1024,32,True,8
97,2,0.0,35.56,4096,double,True,1024,32,True,8
98,3,0.0,35.57,4096,double,True,1024,32,True,8
99,4,0.0,35.56,4096,double,True,1024,32,True,8
100,0,0.0,35.59,8192,double,True,1024,32,True,8
101,1,0.0,35.59,8192,double,True,1024,32,True,8
102,2,0.0,35.59,8192,double,True,1024,32,True,8
103,3,0.0,35.58,8192,double,True,1024,32,True,8
104,4,0.0,36.03,8192,double,True,1024,32,True,8
105,0,0.0,35.61,16384,double,True,1024,32,True,8
106,1,0.0,36.2,16384,double,True,1024,32,True,8
107,2,0.0,36.15,16384,double,True,1024,32,True,8
108,3,0.0,36.23,16384,double,True,1024,32,True,8
109,4,0.0,36.28,16384,double,True,1024,32,True,8
110,0,0.0,35.71,32768,double,True,1024,32,True,8
111,1,0.0,35.73,32768,double,True,1024,32,True,8
112,2,0.0,35.72,32768,double,True,1024,32,True,8
113,3,0.0,35.7,32768,double,True,1024,32,True,8
114,4,0.0,35.71,32768,double,True,1024,32,True,8
115,0,0.0,35.62,65536,double,True,1024,32,True,8
116,1,0.0,35.62,65536,double,True,1024,32,True,8
117,2,0.0,35.63,65536,double,True,1024,32,True,8
118,3,0.0,35.62,65536,double,True,1024,32,True,8
119,4,0.0,35.62,65536,double,True,1024,32,True,8
120,0,0.0,36.16,1536,double,True,1024,32,True,8
121,1,0.0,36.07,1536,double,True,1024,32,True,8
122,2,0.0,36.38,1536,double,True,1024,32,True,8
123,3,0.0,36.42,1536,double,True,1024,32,True,8
124,4,0.0,36.28,1536,double,True,1024,32,True,8
125,0,0.0,36.05,3072,double,True,1024,32,True,8
126,1,0.0,36.09,3072,double,True,1024,32,True,8
127,2,0.0,36.08,3072,double,True,1024,32,True,8
128,3,0.0,36.11,3072,double,True,1024,32,True,8
129,4,0.0,36.21,3072,double,True,1024,32,True,8
130,0,0.0,36.1,6144,double,True,1024,32,True,8
131,1,0.0,35.58,6144,double,True,1024,32,True,8
132,2,0.0,35.64,6144,double,True,1024,32,True,8
133,3,0.0,35.63,6144,double,True,1024,32,True,8
134,4,0.0,35.59,6144,double,True,1024,32,True,8
135,0,0.0,37.14,12288,double,True,1024,32,True,8
136,1,0.0,37.39,12288,double,True,1024,32,True,8
137,2,0.0,37.0,12288,double,True,1024,32,True,8
138,3,0.0,37.12,12288,double,True,1024,32,True,8
139,4,0.0,37.17,12288,double,True,1024,32,True,8
140,0,0.0,36.76,24576,double,True,1024,32,True,8
141,1,0.0,36.74,24576,double,True,1024,32,True,8
142,2,0.0,36.74,24576,double,True,1024,32,True,8
143,3,0.0,36.71,24576,double,True,1024,32,True,8
144,4,0.0,36.51,24576,double,True,1024,32,True,8
145,0,0.0,36.29,49152,double,True,1024,32,True,8
146,1,0.0,35.9,49152,double,True,1024,32,True,8
147,2,0.0,35.68,49152,double,True,1024,32,True,8
148,3,0.0,35.69,49152,double,True,1024,32,True,8
149,4,0.0,35.69,49152,double,True,1024,32,True,8
150,0,0.0,37.6,0,double,True,1024,32,True,16
151,1,0.0,37.62,0,double,True,1024,32,True,16
152,2,0.0,37.61,0,double,True,1024,32,True,16
153,3,0.0,37.58,0,double,True,1024,32,True,16
154,4,0.0,37.6,0,double,True,1024,32,True,16
155,0,0.0,262.75,512,double,True,1024,32,True,16
156,1,0.0,265.07,512,double,True,1024,32,True,16
157,2,0.0,264.05,512,double,True,1024,32,True,16
158,3,0.0,266.04,512,double,True,1024,32,True,16
159,4,0.0,264.68,512,double,True,1024,32,True,16
160,0,0.0,37.78,1024,double,True,1024,32,True,16
161,1,0.0,37.61,1024,double,True,1024,32,True,16
162,2,0.0,37.61,1024,double,True,1024,32,True,16
163,3,0.0,37.59,1024,double,True,1024,32,True,16
164,4,0.0,37.57,1024,double,True,1024,32,True,16
165,0,0.0,37.59,2048,double,True,1024,32,True,16
166,1,0.0,37.68,2048,double,True,1024,32,True,16
167,2,0.0,37.57,2048,double,True,1024,32,True,16
168,3,0.0,37.58,2048,double,True,1024,32,True,16
169,4,0.0,37.67,2048,double,True,1024,32,True,16
170,0,0.0,37.6,4096,double,True,1024,32,True,16
171,1,0.0,37.62,4096,double,True,1024,32,True,16
172,2,0.0,38.91,4096,double,True,1024,32,True,16
173,3,0.0,38.62,4096,double,True,1024,32,True,16
174,4,0.0,38.37,4096,double,True,1024,32,True,16
175,0,0.0,37.63,8192,double,True,1024,32,True,16
176,1,0.0,37.62,8192,double,True,1024,32,True,16
177,2,0.0,37.62,8192,double,True,1024,32,True,16
178,3,0.0,37.6,8192,double,True,1024,32,True,16
179,4,0.0,37.61,8192,double,True,1024,32,True,16
180,0,0.0,37.62,16384,double,True,1024,32,True,16
181,1,0.0,37.61,16384,double,True,1024,32,True,16
182,2,0.0,37.61,16384,double,True,1024,32,True,16
183,3,0.0,37.6,16384,double,True,1024,32,True,16
184,4,0.0,37.61,16384,double,True,1024,32,True,16
185,0,0.0,37.58,32768,double,True,1024,32,True,16
186,1,0.0,37.58,32768,double,True,1024,32,True,16
187,2,0.0,37.57,32768,double,True,1024,32,True,16
188,3,0.0,37.57,32768,double,True,1024,32,True,16
189,4,0.0,37.57,32768,double,True,1024,32,True,16
190,0,0.0,37.79,65536,double,True,1024,32,True,16
191,1,0.0,37.79,65536,double,True,1024,32,True,16
192,2,0.0,37.72,65536,double,True,1024,32,True,16
193,3,0.0,37.73,65536,double,True,1024,32,True,16
194,4,0.0,37.73,65536,double,True,1024,32,True,16
195,0,0.0,37.86,1536,double,True,1024,32,True,16
196,1,0.0,37.57,1536,double,True,1024,32,True,16
197,2,0.0,37.57,1536,double,True,1024,32,True,16
198,3,0.0,37.71,1536,double,True,1024,32,True,16
199,4,0.0,37.61,1536,double,True,1024,32,True,16
200,0,0.0,38.12,3072,double,True,1024,32,True,16
201,1,0.0,38.26,3072,double,True,1024,32,True,16
202,2,0.0,38.7,3072,double,True,1024,32,True,16
203,3,0.0,39.03,3072,double,True,1024,32,True,16
204,4,0.0,39.2,3072,double,True,1024,32,True,16
205,0,0.0,38.14,6144,double,True,1024,32,True,16
206,1,0.0,37.65,6144,double,True,1024,32,True,16
207,2,0.0,37.59,6144,double,True,1024,32,True,16
208,3,0.0,37.6,6144,double,True,1024,32,True,16
209,4,0.0,37.6,6144,double,True,1024,32,True,16
210,0,0.0,38.49,12288,double,True,1024,32,True,16
211,1,0.0,38.34,12288,double,True,1024,32,True,16
212,2,0.0,38.44,12288,double,True,1024,32,True,16
213,3,0.0,38.53,12288,double,True,1024,32,True,16
214,4,0.0,38.07,12288,double,True,1024,32,True,16
215,0,0.0,37.81,24576,double,True,1024,32,True,16
216,1,0.0,37.77,24576,double,True,1024,32,True,16
217,2,0.0,37.72,24576,double,True,1024,32,True,16
218,3,0.0,37.76,24576,double,True,1024,32,True,16
219,4,0.0,37.73,24576,double,True,1024,32,True,16
220,0,0.0,38.36,49152,double,True,1024,32,True,16
221,1,0.0,37.77,49152,double,True,1024,32,True,16
222,2,0.0,37.64,49152,double,True,1024,32,True,16
223,3,0.0,37.61,49152,double,True,1024,32,True,16
224,4,0.0,37.62,49152,double,True,1024,32,True,16
225,0,0.0,37.63,0,double,True,1024,32,True,32
226,1,0.0,37.6,0,double,True,1024,32,True,32
227,2,0.0,37.61,0,double,True,1024,32,True,32
228,3,0.0,37.66,0,double,True,1024,32,True,32
229,4,0.0,37.6,0,double,True,1024,32,True,32
